Transaction_ID,Date,Year,Month,Quarter,Customer_ID,Bank,Branch,Sector,Transaction_Type,Debit_Credit,Amount_NGN,Account_Balance_NGN,Interest_Rate_pct,NPL_Flag,Exchange_Rate_USD,Outlier_Flag
TXN001864,2022-01-22,2022,January,Q1,CUST1030,GTBank,Branch_06,Retail,POS Payment,Debit,158340.35,1808278.16,7.61,No,1520.53,No
TXN001656,2022-01-22,2022,January,Q1,CUST1237,GTBank,Branch_08,Retail,Transfer,Debit,157649.87,1517558.03,8.6,No,1387.79,No
TXN001998,2022-01-22,2022,January,Q1,CUST1085,Zenith Bank,Branch_11,Individual,POS Payment,Debit,1368867.26,1919801.91,6.86,No,911.05,No
TXN000455,2022-01-22,2022,January,Q1,CUST1133,FirstBank Nigeria,Branch_16,SME,Transfer,Debit,573881.12,246920.7,15.67,No,1554.91,No
TXN001175,2022-01-22,2022,January,Q1,CUST1403,GTBank,Branch_07,Government,ATM Withdrawal,Debit,163009.23,5571411.91,19.26,No,1168.88,No
TXN001981,2022-01-22,2022,January,Q1,CUST1186,Access Bank,Branch_11,Corporate,POS Payment,Debit,1551923.5,2868190.71,17.08,Yes,961.75,No
TXN000829,2022-01-23,2022,January,Q1,CUST1343,Zenith Bank,Branch_18,Government,Transfer,Debit,716494.94,687046.62,9.62,Yes,933.74,No
TXN000963,2022-01-23,2022,January,Q1,CUST1033,Zenith Bank,Branch_03,Individual,Loan Repayment,Debit,403850.98,695103.26,23.15,No,1580.16,No
TXN001458,2022-01-23,2022,January,Q1,CUST1200,Zenith Bank,Branch_19,Individual,Deposit,Credit,,4579722.7,7.64,No,1200.94,No
TXN001285,2022-01-24,2022,January,Q1,CUST1165,UBA,Branch_19,Government,Wire Transfer,Credit,1715432.06,4966290.78,9.07,No,1094.81,No
TXN000195,2022-01-24,2022,January,Q1,CUST1293,Zenith Bank,Branch_13,Corporate,ATM Withdrawal,Debit,124717.6,1884972.99,15.14,No,1333.16,No
TXN001868,2022-01-25,2022,January,Q1,CUST1155,GTBank,Branch_07,Retail,Withdrawal,Credit,555229.58,2428399.51,7.9,Yes,1114.15,No
TXN001233,2022-01-25,2022,January,Q1,CUST1299,Zenith Bank,Branch_20,Individual,ATM Withdrawal,Debit,1491041.75,2318740.55,24.43,No,1515.0,No
TXN000940,2022-01-25,2022,January,Q1,CUST1384,UBA,Branch_02,Government,Withdrawal,Debit,768289.1,1468847.06,7.59,Yes,862.35,No
TXN001915,2022-01-28,2022,January,Q1,CUST1122,Access Bank,Branch_04,Corporate,Interest Credit,Credit,479574.85,1253103.79,20.26,No,975.84,No
TXN001382,2022-01-28,2022,January,Q1,CUST1004,Zenith Bank,Branch_11,Corporate,Withdrawal,Debit,1165718.45,779990.35,23.85,No,1418.21,No
TXN001879,2022-01-29,2022,January,Q1,CUST1124,GTBank,Branch_20,Retail,Withdrawal,Debit,768360.17,1047858.17,13.94,No,1538.39,No
TXN001644,2022-01-31,2022,January,Q1,CUST1110,UBA,Branch_07,Government,Wire Transfer,Credit,196956.43,4068307.01,21.28,Yes,1436.15,No
TXN000461,2022-01-31,2022,January,Q1,CUST1077,Access Bank,Branch_12,SME,Loan Repayment,Debit,840775.93,0.0,20.43,No,1144.13,No
TXN001832,2022-02-01,2022,February,Q1,CUST1235,UBA,Branch_19,Individual,Loan Repayment,Debit,867181.34,1710860.58,16.05,No,850.57,No
TXN001312,2022-02-02,2022,February,Q1,CUST1165,FirstBank Nigeria,Unknown,Individual,Loan Repayment,Debit,621399.91,4344890.87,15.14,No,1393.25,No
TXN001634,2022-02-02,2022,February,Q1,CUST1093,Access Bank,Branch_19,Individual,Interest Credit,Credit,1614746.04,1808278.16,13.15,No,1168.88,No
TXN001016,2022-02-03,2022,February,Q1,CUST1330,FirstBank Nigeria,Branch_11,Retail,Wire Transfer,Credit,,2920188.88,13.39,No,1390.64,No
TXN000146,2022-02-03,2022,February,Q1,CUST1463,UBA,Branch_19,Corporate,Loan Repayment,Debit,582898.34,1941256.31,5.53,No,1104.08,No
TXN001944,2022-02-04,2022,February,Q1,CUST1139,UBA,Branch_11,Individual,Withdrawal,Debit,1441932.6,0.0,16.76,No,1133.23,No
TXN001355,2022-02-05,2022,February,Q1,CUST1273,UBA,Branch_08,SME,Transfer,Debit,741059.11,4170686.61,8.23,No,755.02,No
TXN001963,2022-02-05,2022,February,Q1,CUST1135,UBA,Branch_05,Corporate,Transfer,Debit,449445.29,2920387.01,16.77,No,1264.62,No
TXN001633,2022-02-06,2022,February,Q1,CUST1355,UBA,Branch_10,Individual,Deposit,Credit,736801.52,2579311.52,15.14,No,992.9,No
TXN000661,2022-02-06,2022,February,Q1,CUST1440,FirstBank Nigeria,Branch_15,Retail,POS Payment,Debit,767567.94,1958050.55,11.48,No,780.58,No
TXN001997,2022-02-07,2022,February,Q1,CUST1226,Zenith Bank,Branch_15,Individual,Wire Transfer,Credit,1198641.02,5590826.01,23.03,No,767.69,No
TXN000414,2022-02-08,2022,February,Q1,CUST1306,Zenith Bank,Branch_06,Corporate,Withdrawal,Debit,898682.12,276605.47,24.36,No,936.46,No
TXN001750,2022-02-08,2022,February,Q1,CUST1243,FirstBank Nigeria,Branch_11,SME,Deposit,Credit,806267.19,5929376.74,13.59,No,1282.81,No
TXN001861,2022-02-09,2022,February,Q1,CUST1048,GTBank,Branch_06,SME,ATM Withdrawal,Debit,1408467.12,0.0,13.96,No,892.96,No
TXN000014,2022-02-09,2022,February,Q1,CUST1306,FirstBank Nigeria,Branch_03,SME,ATM Withdrawal,Debit,,1175287.59,10.08,No,822.81,No
TXN000723,2022-02-10,2022,February,Q1,CUST1241,Access Bank,Branch_11,Corporate,Loan Repayment,Debit,590015.4,2667279.07,21.26,No,756.69,No
TXN000887,2022-02-10,2022,February,Q1,CUST1416,Access Bank,Unknown,Retail,Wire Transfer,Credit,1038042.78,3612412.92,16.61,No,1390.48,No
TXN001372,2022-02-10,2022,February,Q1,CUST1087,UBA,Unknown,Government,ATM Withdrawal,Debit,1169989.96,1808278.16,8.95,No,1554.61,No
TXN000076,2022-02-12,2022,February,Q1,CUST1013,Zenith Bank,Branch_06,Corporate,Deposit,Credit,941266.4,1443334.49,17.88,No,1597.4,No
TXN001637,2022-02-13,2022,February,Q1,CUST1150,UBA,Branch_06,Individual,Interest Credit,Credit,1237757.85,6505401.54,24.02,No,1506.96,No
TXN000500,2022-02-14,2022,February,Q1,CUST1287,FirstBank Nigeria,Branch_01,Individual,Loan Repayment,Debit,610202.58,1808278.16,14.81,No,1044.76,No
TXN001776,2022-02-15,2022,February,Q1,CUST1217,UBA,Branch_19,Retail,Withdrawal,Debit,600149.42,4188273.51,9.57,No,1511.65,No
TXN000814,2022-02-17,2022,February,Q1,CUST1300,UBA,Branch_20,Corporate,Deposit,Credit,307805.63,1808278.16,23.6,No,1526.69,No
TXN001259,2022-02-17,2022,February,Q1,CUST1382,GTBank,Unknown,Government,Withdrawal,Debit,854948.19,2236415.93,20.82,No,801.24,No
TXN001639,2022-02-17,2022,February,Q1,CUST1358,UBA,Branch_01,Corporate,Wire Transfer,Credit,796288.57,7235770.09,7.74,No,1295.65,No
TXN000778,2022-02-17,2022,February,Q1,CUST1140,UBA,Branch_02,Individual,Interest Credit,Credit,1766262.32,2765927.48,5.54,No,1475.78,No
TXN000691,2022-02-17,2022,February,Q1,CUST1485,UBA,Branch_06,Retail,Loan Repayment,Debit,1948268.08,0.0,9.27,Yes,792.32,No
TXN001226,2022-02-18,2022,February,Q1,CUST1273,Access Bank,Branch_02,Retail,Wire Transfer,Credit,586279.66,3865609.6,13.07,No,1058.87,No
TXN000610,2022-02-19,2022,February,Q1,CUST1382,Access Bank,Unknown,Corporate,Wire Transfer,Credit,1748460.98,3091364.12,13.2,No,1282.79,No
TXN000761,2022-02-19,2022,February,Q1,CUST1212,UBA,Branch_06,Government,ATM Withdrawal,Debit,514727.0,418155.09,7.68,No,992.55,No
TXN001595,2022-02-19,2022,February,Q1,CUST1396,FirstBank Nigeria,Branch_03,SME,Withdrawal,Debit,330265.41,0.0,19.6,No,820.24,No
TXN001415,2022-02-19,2022,February,Q1,CUST1349,FirstBank Nigeria,Branch_05,Government,Loan Repayment,Debit,85268.47,1955173.11,9.66,No,1561.26,No
TXN001883,2022-02-20,2022,February,Q1,CUST1455,UBA,Branch_06,Retail,Transfer,Debit,1814708.14,0.0,7.68,No,941.8,No
TXN000781,2022-02-21,2022,February,Q1,CUST1413,GTBank,Branch_03,Retail,POS Payment,Debit,1834031.95,873218.26,9.24,No,1282.1,No
TXN001772,2022-02-22,2022,February,Q1,CUST1219,Zenith Bank,Branch_18,Individual,Wire Transfer,Credit,625131.15,1773328.87,6.73,Yes,1037.32,No
TXN000721,2022-02-24,2022,February,Q1,CUST1096,GTBank,Branch_18,Corporate,Wire Transfer,Credit,1299654.78,3012476.03,13.78,No,912.28,No
TXN001928,2022-02-24,2022,February,Q1,CUST1090,UBA,Branch_12,Individual,Transfer,Debit,1452645.57,5489508.79,21.76,No,858.65,No
TXN000142,2022-02-24,2022,February,Q1,CUST1452,Access Bank,Branch_12,Government,Deposit,Credit,1004263.23,2784709.37,9.98,No,940.86,No
TXN000179,2022-02-24,2022,February,Q1,CUST1407,UBA,Branch_19,SME,Wire Transfer,Credit,1934157.86,6433055.03,20.38,No,943.41,No
TXN001628,2022-02-25,2022,February,Q1,CUST1446,Access Bank,Branch_06,Government,Transfer,Debit,145822.48,1515532.75,23.37,No,1402.46,No
TXN001968,2022-02-26,2022,February,Q1,CUST1421,GTBank,Branch_15,Retail,ATM Withdrawal,Debit,8307680061.06,1182647.25,7.68,No,1168.88,Yes
TXN000432,2022-02-26,2022,February,Q1,CUST1459,Access Bank,Branch_08,SME,Withdrawal,Debit,135574.74,2819216.52,17.54,No,1168.88,No
TXN001323,2022-02-26,2022,February,Q1,CUST1485,UBA,Branch_07,Government,Wire Transfer,Credit,1408583.53,1408583.53,23.41,No,1312.53,No
TXN000782,2022-02-27,2022,February,Q1,CUST1049,Access Bank,Branch_09,Retail,POS Payment,Debit,1185265.28,3627236.34,17.4,No,960.08,No
TXN000753,2022-02-27,2022,February,Q1,CUST1248,GTBank,Branch_10,Individual,Transfer,Debit,843803.06,0.0,23.3,No,933.24,No
TXN001717,2022-02-27,2022,February,Q1,CUST1076,FirstBank Nigeria,Branch_18,SME,Transfer,Debit,794564.81,0.0,20.52,No,910.17,No
TXN001867,2022-02-27,2022,February,Q1,CUST1329,GTBank,Branch_20,Retail,Withdrawal,Debit,19940.63,1086499.21,12.96,No,933.8,No
TXN000167,2022-02-28,2022,February,Q1,CUST1442,FirstBank Nigeria,Branch_20,Individual,Deposit,Credit,529679.49,3452822.14,15.14,No,1293.14,No
TXN000530,2022-03-01,2022,March,Q1,CUST1370,GTBank,Branch_16,SME,Loan Repayment,Debit,1667733.69,0.0,23.02,No,1427.67,No
TXN000362,2022-03-01,2022,March,Q1,CUST1183,GTBank,Branch_09,Government,Wire Transfer,Credit,226318.49,4751291.65,13.31,Yes,1168.88,No
TXN000502,2022-03-02,2022,March,Q1,CUST1417,UBA,Branch_03,Corporate,Interest Credit,Credit,303840.51,303840.51,22.55,No,1370.41,No
TXN001070,2022-03-02,2022,March,Q1,CUST1191,GTBank,Branch_19,Retail,ATM Withdrawal,Debit,1397602.09,1179812.19,12.67,No,1223.0,No
TXN001004,2022-03-02,2022,March,Q1,CUST1098,UBA,Branch_04,Individual,Deposit,Credit,1023733.57,2973998.32,8.39,No,1513.79,No
TXN000812,2022-03-03,2022,March,Q1,CUST1230,Zenith Bank,Branch_16,Individual,Transfer,Debit,1747563.55,0.0,11.31,No,1438.84,No
TXN001428,2022-03-04,2022,March,Q1,CUST1325,Access Bank,Branch_19,Retail,Transfer,Debit,225617.24,1561677.15,19.27,No,1340.68,No
TXN001333,2022-03-04,2022,March,Q1,CUST1227,UBA,Branch_10,Individual,Deposit,Credit,1776522.97,2343531.93,20.58,No,1168.88,No
TXN000055,2022-03-05,2022,March,Q1,CUST1333,GTBank,Branch_04,Retail,Loan Repayment,Debit,,0.0,10.03,No,1229.37,No
TXN000223,2022-03-06,2022,March,Q1,CUST1439,FirstBank Nigeria,Branch_06,Government,POS Payment,Debit,754650.55,2512326.99,14.54,No,820.28,No
TXN000462,2022-03-06,2022,March,Q1,CUST1405,Zenith Bank,Branch_16,Corporate,Withdrawal,Debit,112548.67,3027286.6,20.24,No,904.36,No
TXN000310,2022-03-08,2022,March,Q1,CUST1394,GTBank,Branch_05,Individual,ATM Withdrawal,Debit,442180.05,4385480.45,16.25,No,1031.49,No
TXN001550,2022-03-08,2022,March,Q1,CUST1415,Zenith Bank,Branch_04,SME,Loan Repayment,Debit,1074394.54,0.0,13.59,Yes,796.68,No
TXN001698,2022-03-11,2022,March,Q1,CUST1246,UBA,Branch_10,Government,Loan Repayment,Debit,1111314.33,0.0,8.96,No,991.71,No
TXN001411,2022-03-12,2022,March,Q1,CUST1428,Zenith Bank,Branch_05,Individual,ATM Withdrawal,Debit,1513104.5,2307113.56,6.25,Yes,1172.18,No
TXN001909,2022-03-13,2022,March,Q1,CUST1103,GTBank,Branch_16,Retail,Withdrawal,Debit,1412958.46,1808278.16,12.45,No,1094.82,No
TXN000156,2022-03-13,2022,March,Q1,CUST1347,GTBank,Branch_19,Corporate,Withdrawal,Debit,1557141.49,2360352.76,12.46,No,777.53,No
TXN000624,2022-03-13,2022,March,Q1,CUST1105,Zenith Bank,Branch_10,Corporate,ATM Withdrawal,Debit,746143.41,0.0,15.76,No,1168.88,No
TXN001927,2022-03-13,2022,March,Q1,CUST1084,GTBank,Branch_17,Corporate,Withdrawal,Debit,756477.87,755503.66,12.07,No,1409.23,No
TXN001617,2022-03-13,2022,March,Q1,CUST1208,FirstBank Nigeria,Branch_13,Individual,Withdrawal,Debit,1522826.5,4331317.0,14.94,No,831.01,No
TXN001673,2022-03-15,2022,March,Q1,CUST1384,Access Bank,Branch_15,SME,Withdrawal,Debit,1847336.9,0.0,9.97,No,1081.92,No
TXN000803,2022-03-16,2022,March,Q1,CUST1205,GTBank,Branch_14,Corporate,Loan Repayment,Debit,904434.1,807668.76,9.95,No,1505.4,No
TXN000351,2022-03-18,2022,March,Q1,CUST1086,Access Bank,Branch_04,Individual,Interest Credit,Credit,1246457.99,1808278.16,16.78,Yes,1305.53,No
TXN001687,2022-03-19,2022,March,Q1,CUST1406,FirstBank Nigeria,Branch_04,Corporate,ATM Withdrawal,Debit,789364.24,0.0,7.18,No,1027.75,No
TXN000212,2022-03-22,2022,March,Q1,CUST1193,FirstBank Nigeria,Branch_11,Individual,Loan Repayment,Debit,3561891170.96,1935927.68,16.12,No,1007.71,Yes
TXN000033,2022-03-23,2022,March,Q1,CUST1477,Zenith Bank,Branch_14,Corporate,Loan Repayment,Debit,1334033.35,2656772.06,12.22,No,1577.76,No
TXN001122,2022-03-23,2022,March,Q1,CUST1014,UBA,Branch_10,Retail,Loan Repayment,Debit,976987.61,158985.55,21.13,No,1550.54,No
TXN001720,2022-03-24,2022,March,Q1,CUST1031,GTBank,Branch_03,SME,Deposit,Credit,1955990.7,6784026.44,9.99,No,1442.47,No
TXN000713,2022-03-24,2022,March,Q1,CUST1047,UBA,Branch_16,Government,ATM Withdrawal,Debit,1353041.84,0.0,17.8,No,1198.19,No
TXN001898,2022-03-25,2022,March,Q1,CUST1193,GTBank,Branch_18,Retail,Loan Repayment,Debit,1888252.75,0.0,6.05,No,1448.0,No
TXN001901,2022-03-25,2022,March,Q1,CUST1385,Access Bank,Branch_13,Government,Loan Repayment,Debit,1859758.18,0.0,7.1,No,1057.74,No
TXN000699,2022-03-26,2022,March,Q1,CUST1456,UBA,Branch_15,SME,Transfer,Debit,340148.06,646099.45,14.86,No,1168.88,No
TXN001351,2022-03-26,2022,March,Q1,CUST1393,UBA,Branch_05,Corporate,Loan Repayment,Debit,1449957.86,2437923.15,6.33,Yes,1040.15,No
TXN001336,2022-03-27,2022,March,Q1,CUST1206,Zenith Bank,Branch_19,Government,Deposit,Credit,1621909.27,2913399.52,22.78,No,833.96,No
TXN001810,2022-03-27,2022,March,Q1,CUST1423,Zenith Bank,Branch_08,Corporate,ATM Withdrawal,Debit,66883.68,0.0,17.07,No,1026.25,No
TXN001438,2022-03-27,2022,March,Q1,CUST1278,UBA,Branch_06,Individual,Withdrawal,Debit,8578.97,38548.17,23.26,No,1378.75,No
TXN001445,2022-03-27,2022,March,Q1,CUST1303,Access Bank,Branch_13,Government,Deposit,Credit,639603.88,639603.88,6.09,No,1389.98,No
TXN000677,2022-03-28,2022,March,Q1,CUST1090,Access Bank,Branch_03,Retail,Deposit,Credit,1719238.21,4794146.87,7.09,No,1515.49,No
TXN000793,2022-03-28,2022,March,Q1,CUST1232,Access Bank,Branch_07,Retail,Loan Repayment,Debit,1277714.72,1097850.85,18.67,No,953.17,No
TXN001627,2022-03-28,2022,March,Q1,CUST1009,GTBank,Branch_20,Individual,Deposit,Credit,,2692953.25,12.37,No,825.12,No
TXN001743,2022-03-29,2022,March,Q1,CUST1264,UBA,Branch_04,Individual,Deposit,Credit,195307.94,6650474.77,19.31,No,875.91,No
TXN000974,2022-03-29,2022,March,Q1,CUST1134,UBA,Branch_04,Corporate,Deposit,Credit,,1828391.55,16.16,No,997.06,No
TXN000108,2022-03-30,2022,March,Q1,CUST1113,UBA,Branch_13,Government,Interest Credit,Credit,1286859.7,6016667.13,6.09,No,1112.33,No
TXN000474,2022-03-31,2022,March,Q1,CUST1267,GTBank,Branch_19,Retail,Transfer,Debit,404557.02,2906953.58,14.72,No,1295.49,No
TXN000148,2022-03-31,2022,March,Q1,CUST1240,Access Bank,Branch_08,SME,ATM Withdrawal,Debit,,1207519.44,12.28,Yes,1373.0,No
TXN001432,2022-04-01,2022,April,Q2,CUST1229,UBA,Branch_02,Individual,POS Payment,Debit,1904316.79,2156935.15,14.78,No,993.54,No
TXN000538,2022-04-01,2022,April,Q2,CUST1159,UBA,Branch_10,SME,Withdrawal,Debit,934018.37,919469.65,6.38,No,769.11,No
TXN001741,2022-04-01,2022,April,Q2,CUST1056,UBA,Branch_01,Retail,Deposit,Credit,1594619.48,7772282.4,15.27,Yes,1435.18,No
TXN001718,2022-04-02,2022,April,Q2,CUST1019,Zenith Bank,Unknown,Individual,Wire Transfer,Credit,1621760.25,2113731.51,18.53,No,1180.03,No
TXN000964,2022-04-02,2022,April,Q2,CUST1289,UBA,Branch_12,Retail,Wire Transfer,Credit,96573.78,1995324.69,7.27,No,1388.93,No
TXN001771,2022-04-03,2022,April,Q2,CUST1327,UBA,Branch_09,SME,POS Payment,Debit,1670255.66,0.0,12.65,No,1545.22,No
TXN000589,2022-04-04,2022,April,Q2,CUST1316,GTBank,Unknown,Retail,Transfer,Debit,344911.89,0.0,6.45,Yes,1137.76,No
TXN000698,2022-04-04,2022,April,Q2,CUST1414,FirstBank Nigeria,Branch_12,Individual,Interest Credit,Credit,1239505.92,3336781.6,11.25,No,862.4,No
TXN000349,2022-04-04,2022,April,Q2,CUST1421,Zenith Bank,Branch_05,Government,Interest Credit,Credit,1455799.91,1455799.91,16.83,No,1041.32,No
TXN001632,2022-04-05,2022,April,Q2,CUST1270,GTBank,Branch_12,SME,Loan Repayment,Debit,1229209.84,0.0,7.86,No,1133.8,No
TXN001765,2022-04-06,2022,April,Q2,CUST1132,Access Bank,Branch_07,SME,Wire Transfer,Credit,946813.88,5116824.02,7.28,No,1073.21,No
TXN000780,2022-04-07,2022,April,Q2,CUST1114,Zenith Bank,Branch_03,Individual,POS Payment,Debit,897998.56,958494.87,5.6,No,1498.08,No
TXN000209,2022-04-07,2022,April,Q2,CUST1218,Zenith Bank,Branch_13,Individual,POS Payment,Debit,637809.55,2163651.25,13.41,No,906.3,No
TXN000622,2022-04-07,2022,April,Q2,CUST1190,GTBank,Branch_18,SME,ATM Withdrawal,Debit,912125.11,3942958.93,8.66,No,992.46,No
TXN000352,2022-04-09,2022,April,Q2,CUST1010,FirstBank Nigeria,Branch_05,Government,POS Payment,Credit,760817.4,2058860.08,15.9,Yes,924.67,No
TXN000709,2022-04-10,2022,April,Q2,CUST1441,Zenith Bank,Branch_03,Retail,ATM Withdrawal,Debit,1487728.08,0.0,15.9,No,1089.03,No
TXN000513,2022-04-11,2022,April,Q2,CUST1322,GTBank,Unknown,Government,Interest Credit,Credit,796380.76,796380.76,11.29,Yes,891.51,No
TXN001842,2022-04-12,2022,April,Q2,CUST1009,FirstBank Nigeria,Branch_02,Corporate,POS Payment,Debit,1850718.87,842234.38,22.57,No,1140.45,No
TXN001101,2022-04-12,2022,April,Q2,CUST1335,GTBank,Branch_11,Retail,Withdrawal,Debit,368918.86,4542783.3,15.13,No,785.66,No
TXN001031,2022-04-13,2022,April,Q2,CUST1055,GTBank,Branch_08,Corporate,Withdrawal,Debit,230818.22,0.0,22.51,No,805.97,No
TXN001992,2022-04-13,2022,April,Q2,CUST1470,FirstBank Nigeria,Branch_08,Retail,Wire Transfer,Credit,1725976.25,1891642.67,14.71,No,1258.52,No
TXN001858,2022-04-13,2022,April,Q2,CUST1360,Access Bank,Branch_13,Government,ATM Withdrawal,Debit,1239939.32,0.0,12.2,No,885.54,No
TXN000187,2022-04-14,2022,April,Q2,CUST1300,UBA,Branch_04,Corporate,Loan Repayment,Debit,105455.97,1128990.26,13.35,Yes,1329.01,No
